id,bid,user_id,用户昵称,微博正文,头条文章url,发布位置,艾特用户,话题,转发数,评论数,点赞数,发布时间,发布工具,微博图片url,微博视频url,retweet_id
4477816714410169,IwEmPivhL,5706741141,小爷要用膳,@Dear-迪丽热巴#迪丽热巴超话#L小爷要用膳的微博视频,,龙岩,Dear,迪丽热巴超话,1,0,1,2020-03-01 23:56,OPPO R9s,,"http://f.video.weibocdn.com/001fHTzmgx07BmQ34pLO010412008YaA0E010.mp4?label=mp4_720p&template=720x1268.24.0&trans_finger=c3f00996be5378650057cf237d7bfffd&ori=0&ps=1BVp4ysnknHVZu&Expires=1676269978&ssig=8mGBJa37to&KID=unistore,video",
4477816706242118,IwEmOqbRk,6337745127,明星时尚大侦探,迪丽热巴让我流鼻血啦#闪耀吧爱豆#迪丽热巴#记录世界记录你#L名侦探小娱的快手视频,,,,"闪耀吧爱豆 ,记录世界 记录你",2,0,4,2020-03-01 23:55,快手,,http://www.kuaishou.com/rest/kd/partner/weibo/linkcard/video?p=3xa3c3hri8xmqqq&a=3xx79dm55nfvmws&f=3xe4yk6sj6wk8uk,
4477816697806226,IwEmNwKKS,5985896999,热巴的狐狸呀,《春日京中有怀》[唐]杜审言今年游寓独游秦，愁思看春不当春。上林苑里花徒发，细柳营前叶漫新。公子南桥应尽兴，将军西第几留宾。寄语洛城风日道，明年春色倍还人。【迪丽热巴】【dlrb】【迪丽热巴粉丝】【四字女星】【九字女星】【热巴】【巴粉】#迪丽热巴三生三世枕上书#@Dear-迪丽热巴#迪丽热巴白凤九#,,,Dear,"迪丽热巴三生三世枕上书,迪丽热巴白凤九",0,0,0,2020-03-01 23:55,HUAWEI nova 2s,['https://wx1.sinaimg.cn/large/006x6dfNgy1gcev8y8j9xj30u0190dlt.jpg'],,
4477816613787291,IwEmFfTfl,6986163720,Mozz-完子,天了噜！我在迪丽热巴超话又双叒叕升级了！当前等级LV.6，获得苏溢清头衔，小伙伴们速来围观~超话传送门→迪丽热巴,,,,,0,0,0,2020-03-01 23:55,超话,,,
4477816446325572,IwEmoqxzm,6573835774,我们的初恋未满,#电视剧三生三世枕上书#把帝君嘴咬坏的小白，惊慌失措。主演：迪丽热巴/高伟光O网页链接,,,,电视剧三生三世枕上书,17,11,370,2020-03-01 23:54,三生三世枕上书超话,,,
4477816411963527,IwEml8eNN,5626127649,热巴味的酸奶疙瘩Dilraba,一生热爱步履不停低调做事谦虚做人@Dear-迪丽热巴永远爱你阿丝们永远是你坚强的后盾加油,,高州市,Dear,,0,0,5,2020-03-01 23:54,vivo Z5x性能实力派,,,
4477816349040449,IwEmeBVPH,3639256844,樱桃小丸子呀_m,迪丽热巴流量真的是一把双刃剑啊经过这次也是给各家的一个血淋淋的教训以后真的多多专注好自家眼神只给你8就好我知道在怎么说饭圈摩擦避免不了反正管好自己不主动ky就好尤其是别跨圈干预🙅‍♀️🙅‍♀️🙅‍♀️她是公众人物避免不了被评论肯定有人喜欢有人不喜欢学会对一些事情脱敏有的你不喜欢的划过就好遇到个别犯贱那就举报反黑站千万别口嗨你觉得问题不大但是你一言我一句吵吵起来就大了还是那句话专注自家有时候粉圈混久了自己也不知道慢慢的就变戾气了有时候冷静思考一下会避免很多不必要的麻烦顺便说一句你的粉丝力量比起强大的路人圈还是纸上的🐯Ps:吃瓜一定用路人号或者小号，因为你有粉籍你说的任何一句话都有可能代替整个粉圈，而带上饭圈整体吃亏的永远是蒸煮,,,,,16,385,1277,2020-03-01 23:54,迪丽热巴超话,['https://wx1.sinaimg.cn/large/d8eaa70cly1gcev6uooh2j206o06o74m.jpg'],,
4477816336990207,IwEmdtkth,6020397506,蟹蟹蟹老板x,迪丽热巴理智追星！！现在的状况就是最好的警示！！粉丝都要管好自己，理智追星，不要让爱豆和无辜的人为自己的无脑行为买单！！爱丽丝们还是很优秀的,,,,,0,0,5,2020-03-01 23:54,迪丽热巴超话,,,
4477816294696757,IwEm9jHQ9,7324952371,时尚男孩116,想我的老婆她就是迪丽热巴,,乌鲁木齐,,,0,0,0,2020-03-01 23:54,前置双摄vivo X9Plus,['https://wx2.sinaimg.cn/large/007ZIKJ5ly1gcev6467gej30u01407qt.jpg'],,
4477816248452457,IwEm4zsRX,6459305756,圈内路人甲,迪丽热巴高伟光同框情侣头像来啦,,,,,1,1,27,2020-03-01 23:54,nova5Pro人像超级夜景,"['https://wx2.sinaimg.cn/large/00738AuUgy1gcev71i2w1j31jk0srtom.jpg', 'https://wx1.sinaimg.cn/large/00738AuUgy1gcev722i1zj31jk0srh1b.jpg']",,
